"player","team","pos","actual","xgb_pred","residual"
"bridget carleton","MIN","F",125000,118094.671875,-6905.328125
"dijonai carrington","DAL","G-F",2e+05,192662.71875,-7337.28125
"maddy siegrist","DAL","F",83371,75882.78125,-7488.21875
"michaela onyenwere","CHI","F",125000,117488.75,-7511.25
"kiana williams","PHO","G",66079,58204.2109375,-7874.7890625
"dana evans","LVA","G",89000,80706.2421875,-8293.7578125
"kalani brown","PHO","C",128750,118351.3515625,-10398.6484375
"alyssa thomas","PHO","F",215000,204424.265625,-10575.734375
"diamond miller","MIN","F",83371,72594.875,-10776.125
"elizabeth williams","CHI","C-F",1e+05,88760.421875,-11239.578125
"satou sabally","PHO","F",215000,203521,-11479
"tiffany mitchell","SEA","G",101123,89410.15625,-11712.84375
"joyner holmes","LVA","F",61607,48877.2421875,-12729.7578125
"rhyne howard","ATL","G",91981,78368.84375,-13612.15625
"odyssey sims","LAS","G",130000,116368.625,-13631.375
"nalyssa smith","LVA","F",91981,77754.8125,-14226.1875
"natisha hiedeman","MIN","G",135000,120711.546875,-14288.453125
"alysha clark","SEA","F",185000,169831.015625,-15168.984375
"brittney griner","ATL","C",214466,199013.359375,-15452.640625
"tyasha harris","DAL","G",100013,84378.265625,-15634.734375
"megan gustafson","LVA","C",96820,80236.875,-16583.125
"kiah stokes","LVA","C",103000,86291.90625,-16708.09375
"kelsey mitchell","IND","G",249244,231524.78125,-17719.21875
"arike ogunbowale","DAL","G",249032,230599.28125,-18432.71875
"skylar diggins","SEA","G",214466,193553.015625,-20912.984375
"rae burrell","LAS","G-F",125000,103095.0234375,-21904.9765625
"gabby williams","SEA","F",225000,202693.65625,-22306.34375
"sami whitcomb","PHO","G",125000,99932.59375,-25067.40625
"jewell loyd","LVA","G",249032,221901.46875,-27130.53125
"karlie samuelson","MIN","G",118450,90595.8203125,-27854.1796875
"kahleah copper","PHO","G-F",248134,202575.03125,-45558.96875
