"model","avg_cv_rmse","sd_rmse","k","se_rmse","lower_rmse","upper_rmse"
"xgb_pred",10910.0682037789,1094.55375488157,5,489.499320188569,10420.5688835903,11399.5675239674
"poly_pred",14635.1566674885,3220.33119720149,5,1440.17589340116,13194.9807740873,16075.3325608896
"lm_pred",14756.4141085068,2891.11060444815,5,1292.94396840332,13463.4701401035,16049.3580769101
"lasso_pred",14764.9163127512,2879.20601199211,5,1287.62007280809,13477.2962399431,16052.5363855593
"ridge_pred",15812.4594923824,2485.96155343572,5,1111.75580458665,14700.7036877958,16924.2152969691
