,player,team,pos,g,mp,per,ts_percent,e_fg_percent,x3p_ar,f_tr,orb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,o_rtg,d_rtg,ows,dws,ws,ws_40,year
508,Paige Bueckers,DAL,G,18,629,19.8,0.538,0.485,0.223,0.281,2.3,6.5,29.1,2.5,1.9,12.3,24,110,110,1.6,0.2,1.8,0.118,2025
509,Queen Egbo,IND,F-C,33,720,12.1,0.481,0.442,0,0.353,9.3,16.9,7.5,2.1,4.7,20.5,18.8,88,105,-0.7,0.8,0,0.003,2022
510,Queen Egbo,WAS,F-C,37,475,13.5,0.528,0.5,0,0.318,9.8,19.7,4.1,1.6,4.5,17.2,19.5,95,99,0,1,0.9,0.079,2023
511,Queen Egbo,LVA,F-C,8,29,20.2,0.466,0.417,0,0.167,12.4,20.4,0,5.2,2.9,0,20.4,100,90,0,0.1,0.1,0.154,2024
512,Rachel Banham,MIN,G,36,630,12.6,0.57,0.551,0.634,0.128,0.6,4.4,21.8,0.7,0.6,16.2,21,104,111,0.9,0.1,1,0.061,2022
513,Rachel Banham,MIN,G,32,435,9.7,0.514,0.5,0.648,0.085,1.1,4.3,21.1,1.3,0.6,17.4,21.5,94,111,-0.1,0.1,0,-0.004,2023
514,Rachel Banham,CHI,G,37,586,9.7,0.498,0.48,0.703,0.099,1.4,5.4,11.1,1.2,1.1,8.7,17.7,101,105,0.4,0.6,1,0.07,2024
515,Rachel Banham,CHI,G,22,473,12,0.562,0.527,0.758,0.154,1,3.1,18.2,1.3,0.6,12.1,16.8,112,115,0.9,-0.2,0.8,0.064,2025
516,Rae Burrell,LAS,G-F,3,44,-0.3,0.253,0.167,0.667,0.222,2.7,4.2,3.2,2.3,0,9.2,11.2,61,112,-0.1,0,-0.1,-0.111,2022
517,Rae Burrell,LAS,G-F,29,322,10.7,0.513,0.473,0.441,0.226,4.7,6.8,9.4,2.1,0.9,12.8,16.7,98,105,0.1,0.4,0.5,0.06,2023
518,Rae Burrell,LAS,G-F,37,579,12.6,0.531,0.436,0.442,0.613,4.4,7.1,12.1,2.5,1.6,15.2,18.8,102,108,0.6,0.3,0.9,0.062,2024
519,Rae Burrell,LAS,G-F,6,67,8.7,0.535,0.559,0.235,0.353,1.8,8.2,5.1,1.5,1.4,13.3,15.2,94,112,0,0,0,-0.001,2025
520,Raina Perez,SEA,G,1,2,18.6,,,,,0,0,66,0,0,,0,230,111,0,0,0,0.255,2022
521,Rayah Marshall,CON,C-F,8,49,5,0.352,0.308,0.077,0.462,11.5,20.4,10.7,0,2,24.2,19.3,71,114,-0.2,0,-0.2,-0.16,2025
522,Rebecca Allen,NYL,F-G,25,523,11.3,0.485,0.456,0.491,0.142,1.8,9.3,10.1,2.1,3.9,11.8,17.9,92,102,-0.2,0.8,0.6,0.047,2022
523,Rebecca Allen,CON,F-G,40,858,11.9,0.506,0.492,0.479,0.113,3.9,7.9,6.8,2.2,5.3,11.9,15.1,98,99,0.2,1.7,1.9,0.087,2023
524,Rebecca Allen,PHO,F-G,18,447,10.9,0.522,0.52,0.556,0.024,3.5,9.2,7.4,1.9,2.4,12.4,14.9,97,108,0.1,0.3,0.3,0.031,2024
525,Rebecca Allen,CHI,F-G,22,432,10.2,0.478,0.464,0.543,0.138,2.7,9.3,12.9,1.3,2.9,14.1,17.3,94,110,-0.1,0.1,0.1,0.006,2025
526,Rebekah Gardner,CHI,G,35,760,15.9,0.614,0.577,0.196,0.28,7.4,9,8.8,3.3,1.9,18.6,17.7,107,100,1.1,1.4,2.5,0.134,2022
527,Rebekah Gardner,CHI,G,3,59,17.4,0.631,0.536,0.357,0.429,1.9,11,17.9,5.2,1.4,23.1,16.4,110,97,0.1,0.1,0.2,0.164,2023
528,Rebekah Gardner,NYL,G,21,277,12.9,0.609,0.576,0.364,0.242,6.5,7.9,6.8,2,1.7,11,13.4,118,103,0.6,0.4,1,0.147,2025
529,Rennia Davis,IND,G-F,8,43,3.8,0.385,0.385,0.154,0,7.6,10.9,3.8,2.3,0,23.5,17.2,67,110,-0.2,0,-0.1,-0.134,2022
530,Reshanda Gray,PHO,F,27,237,3.4,0.484,0.465,0.246,0.158,7.7,13,7.6,1.5,1.9,30.7,17,77,104,-0.6,0.3,-0.3,-0.049,2022
531,Rhyne Howard,ATL,G,34,1066,16.5,0.489,0.445,0.487,0.246,2.9,8.4,16.6,2.5,2.3,8.4,25.5,101,101,1.1,1.8,2.9,0.11,2022
532,Rhyne Howard,ATL,G,39,1283,16.7,0.516,0.469,0.479,0.281,2.3,8.4,19.4,2,1.7,10.2,25.1,103,103,1.6,1.9,3.5,0.108,2023
533,Rhyne Howard,ATL,G,30,1018,17.5,0.51,0.46,0.54,0.298,2.7,7.3,17.6,2.8,1.7,9.1,24.9,103,102,1.5,1.5,3,0.119,2024
534,Rhyne Howard,ATL,G,19,670,16.4,0.495,0.447,0.651,0.264,3.6,8.1,22.2,2.4,2.3,10.5,23.8,105,100,1,1.3,2.3,0.139,2025
535,Rickea Jackson,LAS,F,40,1152,13.8,0.547,0.505,0.282,0.26,5.3,8.1,9.7,1.2,1.1,13.4,21.9,101,111,1,0.1,1.1,0.039,2024
536,Rickea Jackson,LAS,F,17,512,10.7,0.507,0.473,0.325,0.215,3.1,6,11.6,1.2,1.5,15.4,22.8,93,114,-0.2,-0.1,-0.3,-0.025,2025
537,Riquna Williams,LVA,G,21,377,12.3,0.55,0.525,0.788,0.178,1.5,6.2,9.7,1.2,0.7,4.5,15.7,113,108,0.7,0.2,1,0.103,2022
538,Robyn Parks,CHI,F,37,505,8.1,0.51,0.496,0.626,0.05,3.4,6.9,4.8,1.2,0.8,11.8,14.3,97,109,0.1,0.3,0.3,0.028,2023
539,Robyn Parks,CON,F,6,63,1.1,0.2,0.2,0.8,0,1.8,8.4,5,1.7,0,16.7,4.4,58,116,-0.1,0,-0.1,-0.071,2025
540,Rui Machida,WAS,G,36,463,6.6,0.369,0.351,0.405,0.107,1.5,5.1,30,1.8,0.4,30.2,12.6,83,101,-0.6,0.8,0.1,0.012,2022
541,Ruthy Hebard,CHI,F,24,232,8.1,0.533,0.51,0,0.163,4.4,10.5,7.4,1.7,1,19.8,12.8,95,102,0,0.3,0.3,0.058,2022
542,Ruthy Hebard,CHI,F,19,175,20.5,0.607,0.585,0,0.377,11.8,15.5,6.8,1.5,3.3,6.1,16.8,126,104,0.7,0.2,0.9,0.2,2023
543,Sabrina Ionescu,NYL,G,36,1163,20.6,0.549,0.492,0.485,0.253,3.6,12.6,36.9,1.7,0.7,16,26.8,107,103,2.8,1.6,4.3,0.149,2022
544,Sabrina Ionescu,NYL,G,36,1134,20.7,0.602,0.562,0.62,0.236,3.1,10.1,27.3,1.7,0.7,15.6,23.7,115,102,3.8,1.8,5.6,0.197,2023
545,Sabrina Ionescu,NYL,G,38,1221,19.5,0.525,0.483,0.53,0.195,2.7,8,33.6,1.6,0.9,13.6,28.1,106,101,2.9,2,4.9,0.16,2024
546,Sabrina Ionescu,NYL,G,20,621,21.3,0.53,0.46,0.518,0.299,2.7,8,31.4,2.4,1.2,12.7,29.4,107,101,1.5,1.1,2.6,0.166,2025
547,Sam Thomas,PHO,G-F,24,118,1.1,0.257,0.237,0.789,0.053,2,2.5,7.6,2.6,1.5,17.1,9.1,62,109,-0.3,0.1,-0.2,-0.077,2022
548,Sam Thomas,PHO,G-F,1,11,-8.7,0,0,0,0,0,5.6,0,0,0,0,8.5,0,116,-0.1,0,-0.1,-0.23,2023
549,Sami Whitcomb,NYL,G,35,746,9.9,0.538,0.515,0.836,0.114,1.8,6.4,17.9,1.6,0.6,18.8,16.1,97,107,0.2,0.6,0.8,0.042,2022
550,Sami Whitcomb,SEA,G,40,978,13.4,0.567,0.539,0.722,0.166,2.2,6.6,20.9,1.8,1.2,18.9,19.2,101,107,0.8,0.7,1.5,0.062,2023
551,Sami Whitcomb,SEA,G,40,611,9.9,0.47,0.459,0.774,0.053,2.8,6.9,16,2.5,1.3,15.8,18.2,91,101,-0.4,1,0.7,0.043,2024
552,Sami Whitcomb,PHO,G,21,553,14,0.564,0.535,0.683,0.177,2.2,7.3,17.4,1.7,0.7,14.1,18.9,107,104,0.8,0.7,1.6,0.114,2025
553,Sania Feagin,LAS,F,8,40,-7.8,0.252,0.263,0.211,0.105,0,4.6,4.2,0,12,20.1,28.1,44,110,-0.4,0,-0.4,-0.394,2025
554,Saniya Rivers,CON,G,20,551,12.5,0.45,0.42,0.337,0.195,3.1,6.7,20.3,3.3,3.3,15.2,18,90,112,-0.4,0.1,-0.4,-0.027,2025
555,Sarah Ashlee Barker,LAS,G,21,365,3.6,0.459,0.414,0.632,0.237,2.4,8.9,9.2,1.4,1.1,27.6,14.3,77,112,-0.7,0,-0.7,-0.075,2025
556,Satou Sabally,DAL,F,11,239,13.7,0.524,0.447,0.417,0.34,4.4,13.4,17,1.1,0.7,17.4,26.8,98,107,0.1,0.2,0.3,0.055,2022
557,Satou Sabally,DAL,F,38,1258,21.9,0.562,0.495,0.336,0.35,7.6,13.9,21.5,2.7,1.1,14.9,24.8,114,103,4.2,1.7,5.9,0.187,2023
558,Satou Sabally,DAL,F,15,512,19.5,0.563,0.517,0.402,0.325,4.1,11.2,24,1.9,1.3,13.4,23.1,113,113,1.6,-0.1,1.4,0.113,2024
559,Satou Sabally,PHO,F,18,509,21.7,0.526,0.451,0.397,0.412,6.1,15.6,17.5,2.5,1.7,11.6,32.6,104,97,1,1.2,2.1,0.166,2025
560,Sevgi Uzun,DAL,G,40,820,6.3,0.418,0.392,0.422,0.116,1.3,4.7,20.7,2.3,1.2,25.9,14.8,83,115,-1.2,-0.4,-1.6,-0.08,2024
561,Sevgi Uzun,PHO,G,7,102,2.2,0.331,0.25,0.571,0.429,0,3.4,19.3,2,2.9,37.5,11.7,67,103,-0.3,0.1,-0.2,-0.059,2025
562,Shakira Austin,WAS,C-F,36,776,17.4,0.576,0.547,0.004,0.489,9.5,17.8,7.5,1.7,3.6,16.6,19.4,105,95,1.1,2,3.1,0.16,2022
563,Shakira Austin,WAS,C-F,19,440,15.6,0.528,0.5,0,0.383,7.5,17.8,7.1,1.8,3.6,16.3,22.4,94,98,-0.1,1,0.9,0.078,2023
564,Shakira Austin,WAS,C-F,12,238,17.5,0.487,0.434,0.033,0.446,10.4,20.6,9.2,3.2,4.4,16.7,33.1,88,95,-0.4,0.6,0.2,0.03,2024
565,Shakira Austin,WAS,C-F,19,410,20.4,0.513,0.474,0.026,0.383,10.1,18,18,2.5,4.8,16.7,30.1,95,96,-0.1,1,1,0.094,2025
566,Shatori Walker-Kimbrough,WAS,G,35,705,12.5,0.534,0.467,0.377,0.307,1.7,5.4,12.3,2.7,1.3,14.7,17.4,101,98,0.5,1.5,1.9,0.11,2022
567,Shatori Walker-Kimbrough,WAS,G,40,993,10.3,0.559,0.507,0.404,0.232,0.9,4.9,10.5,1.5,1.3,10.4,11.5,109,105,1.1,1.1,2.2,0.088,2023
568,Shatori Walker-Kimbrough,WAS,G,40,883,11.8,0.529,0.484,0.419,0.265,1.7,4.7,14.1,2.4,1.9,16,17.3,97,104,0.3,1,1.2,0.056,2024
569,Shatori Walker-Kimbrough,ATL,G,22,199,4.3,0.387,0.365,0.432,0.189,1.7,5.2,9.1,1.3,3,18.3,11.1,79,103,-0.3,0.3,0,0.004,2025
570,Shey Peddy,PHO,G,34,974,16,0.549,0.504,0.521,0.225,5.4,7.8,20.5,2.8,0.6,13.5,16.8,111,107,2,0.7,2.7,0.111,2022
571,Shey Peddy,PHO,G,18,285,13.1,0.506,0.464,0.548,0.238,3.1,7,19.3,2.9,0,9.7,16.9,107,109,0.4,0.1,0.5,0.074,2023
