,player,team,pos,g,mp,per,ts_percent,e_fg_percent,x3p_ar,f_tr,orb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,o_rtg,d_rtg,ows,dws,ws,ws_40,year
623,Tiffany Mitchell,CON,G,24,392,7.9,0.457,0.376,0.22,0.422,3.4,5.8,7.7,1.5,0.2,10.4,17,95,101,0,0.6,0.6,0.064,2024
624,Tiffany Mitchell,SEA,G,19,268,9.2,0.566,0.5,0.316,0.614,3.5,7.2,4.9,1.7,1,17.2,14.8,100,107,0.1,0.2,0.4,0.054,2025
625,Tina Charles,SEA,C,34,983,16.5,0.536,0.502,0.254,0.187,5.9,14.7,12.9,1.2,2,13.5,25.2,99,102,0.6,1.4,2,0.08,2022
626,Tina Charles,ATL,C,39,1160,19.5,0.501,0.466,0.079,0.201,9.3,18.4,16,1.6,1.6,9.5,25,103,100,1.7,2,3.7,0.129,2024
627,Tina Charles,CON,C,22,633,15.3,0.484,0.408,0.068,0.343,6.2,11.5,12.5,1.4,1.2,12.8,29.5,94,115,-0.3,-0.3,-0.5,-0.033,2025
628,Tina Krajisnik,CHI,C,2,5,9.4,0,0,0,0,0,0,49.5,10.1,0,0,9.1,89,89,0,0,0,0.115,2022
629,Tyasha Harris,DAL,G,35,552,11.3,0.496,0.47,0.327,0.145,1.3,3.5,29.2,1.2,0.6,18.1,17.4,101,111,0.4,0.1,0.5,0.037,2022
630,Tyasha Harris,CON,G,40,668,10.6,0.523,0.51,0.402,0.12,0.9,3,16.5,2.2,0.4,15.7,17.7,97,104,0.1,0.8,0.9,0.055,2023
631,Tyasha Harris,CON,G,39,1125,13.2,0.546,0.513,0.446,0.226,1.1,3.8,17.5,1.9,1.1,12.6,17.6,106,100,1.6,2,3.6,0.127,2024
632,Tyasha Harris,DAL,G,5,82,14.2,0.609,0.583,0.611,0.111,1.3,3.5,24.8,1.2,2.3,13.7,11.5,127,114,0.2,0,0.2,0.102,2025
633,Veronica Burton,DAL,G,36,548,10.1,0.522,0.408,0.566,0.421,3.8,5.9,17.9,3.2,1.8,28,10.2,102,105,0.3,0.6,0.9,0.065,2022
634,Veronica Burton,DAL,G,40,555,11.8,0.47,0.371,0.565,0.4,4.4,7.2,20.8,2.6,1.6,14.5,8.9,120,106,1,0.5,1.6,0.113,2023
635,Veronica Burton,CON,G,31,393,13.6,0.544,0.451,0.514,0.514,4,6.9,22.3,1.9,1.7,14.5,12.1,118,99,0.9,0.8,1.7,0.171,2024
636,Veronica Burton,GSV,G,22,637,17.3,0.535,0.441,0.476,0.476,4.6,8.1,32.7,2,1.8,15.7,18.9,114,102,1.7,1,2.7,0.172,2025
637,Victaria Saxton,IND,F,15,54,1.7,0.451,0.361,0.111,0.389,4.4,11.2,0,1,0,22.2,22.5,77,110,-0.2,0,-0.1,-0.109,2023
638,Victaria Saxton,IND,F,9,23,0.1,0.405,0.389,0.444,0.222,0,7.6,0,0,0,9.2,21,76,114,-0.1,0,-0.1,-0.125,2024
639,Victoria Vivians,IND,G-F,35,940,7.7,0.425,0.395,0.419,0.165,2.7,7.8,15.9,2,0.8,15.2,21.8,84,111,-1.6,0.2,-1.5,-0.063,2022
640,Victoria Vivians,IND,G-F,38,674,9.9,0.478,0.451,0.49,0.156,3.4,10.7,11.4,2.1,0.8,13.1,15.7,97,107,0.1,0.5,0.6,0.038,2023
641,Victoria Vivians,SEA,G-F,35,445,7.2,0.433,0.423,0.561,0.073,4.8,8.8,9.6,1.5,1.4,13.6,14.5,89,102,-0.3,0.6,0.3,0.031,2024
642,Yvonne Anderson,CON,G,11,101,10.4,0.602,0.538,0.385,0.269,3.7,5.4,17.7,1.5,1.8,27.4,17.4,101,102,0.1,0.2,0.2,0.093,2022
643,Yvonne Turner,PHO,G,9,139,5.1,0.43,0.365,0.189,0.297,2.6,5.9,20.4,1.1,0,23.7,17.7,84,110,-0.2,0,-0.2,-0.054,2022
644,Yvonne Turner,SEA,G,21,193,9.9,0.542,0.476,0.073,0.439,1.2,6.7,15.7,2.1,0.9,22.3,14.4,96,107,0,0.2,0.2,0.034,2023
645,Zia Cooke,LAS,G,39,549,4.5,0.38,0.329,0.307,0.213,2.1,4.1,9.6,1.2,2,10.5,22.9,77,106,-1.7,0.5,-1.2,-0.091,2023
646,Zia Cooke,LAS,G,29,257,5.1,0.413,0.371,0.33,0.259,1.4,4.2,11.8,1.8,1,14.4,25.3,78,111,-0.8,0,-0.8,-0.12,2024
647,Zia Cooke,SEA,G,21,217,3.8,0.417,0.391,0.435,0.217,3.3,3,8.4,2.1,0.4,17.5,19.4,78,106,-0.6,0.2,-0.4,-0.067,2025
