"","...1","player","weighted_mp","weighted_ws","weighted_per","team.x","contract_y","age","per_minute_score","rank_within_team","protected","pos","actual","xgb_pred","residual","ufa","suspended"
"16",16,"ariel atkins",1690.75,3.925,16.1125,"CHI",0,28,0.583404707126831,3,1,"G","$200,000","$210,182","$10,182.48","1",0
"17",17,"elizabeth williams",438.3,0.94,16.92,"CHI",0,32,0.0212987167515756,4,1,"C-F","$100,000","$88,760","-$11,239.58","1",0
"18",18,"maddy westbeld",60,0,8.6,"CHI",3,23,-0.0120836140920362,5,1,"F","$69,267","$67,668","-$1,599.49","0",0
"19",19,"courtney vandersloot",1006,2.85,14.8375,"CHI",0,36,-0.0176004889204489,6,0,"G","$185,000","$189,622","$4,621.88","1",0
"20",20,"rebecca allen",1719,2.4,11.1333333333333,"CHI",0,32,-0.142743152716374,7,0,"F-G","$160,000","$159,570","-$429.72","1",0
"21",21,"hailey lith",219,-0.4,7,"CHI",3,23,-0.174184943321053,8,0,"G","$72,455","$65,729","-$6,725.89","0",0
"22",22,"rachel banham",928.333333333333,0.866666666666667,10.5333333333333,"CHI",0,31,-0.359228044031873,9,0,"G","$95,000","$90,652","-$4,348.02","1",0
"23",23,"michaela onyenwere",1365.66666666667,-0.7,8.8,"CHI",0,25,-0.427983738894066,10,0,"F","$125,000","$117,489","-$7,511.25","1",0
"24",24,"kia nurse",2051,0.4,7.96666666666667,"CHI",0,29,-0.503350647589723,11,0,"G","$145,000","$147,849","$2,849.14","1",0
"25",25,"moriah jefferson",1043,0.733333333333334,7.21666666666667,"CHI",0,31,-0.594173313320981,12,0,"G","$145,500","$145,979","$478.53","1",0
"26",26,"aneesah morrow",291,0,15.3,"CON",3,22,0.55251845443586,1,1,"F","$75,643","$77,394","$1,751.12","0",0
"27",27,"marina mabrey",1854,3.16666666666667,14.7,"CON",0,28,0.515042365235604,2,1,"G","$210,000","$221,029","$11,029.25","1",0
"28",28,"tina charles",1793,3.2,17.35,"CON",0,36,0.406466634352993,3,1,"C","$170,000","$201,136","$31,136.31","1",0
"29",29,"olivia ododa",483.6,0.98,14.44,"CON",0,24,0.342001369760271,4,1,"C","$80,823","$81,554","$731.49","0",0
"30",30,"saniya rivers",551,-0.4,12.4,"CON",3,22,0.271826312846632,5,1,"G","$75,643","$75,604","-$38.59","0",0
"31",31,"leila lacan",130,-0.1,10.5,"CON",3,21,0.207792964501672,6,0,"G","$72,455","$71,251","-$1,204.11","0",0
"32",32,"jacy sheldon",1473,-0.5,9.55,"CON",2,24,-0.109826946471598,7,0,"G","$74,909","$83,677","$8,768.29","0",0
"33",33,"lindsay allen",1869,1.8,9.46666666666667,"CON",0,30,-0.162876790197224,8,0,"G","$90,000","$110,529","$20,528.90","1",0
"34",34,"rayah marshall",49,-0.2,5,"CON",3,21,-0.230628868895547,9,0,"C-F","$69,267","$71,770","$2,502.86","0",0
"35",35,"jaelyn brown",272,-0.3,7.1,"CON",0,26,-0.486024812069186,10,0,"G-F","$56,639","$71,805","$15,166.44","0",0
"36",36,"bria hartley",503,-0.5,10.5,"CON",0,32,-0.490611431202366,11,0,"G","$78,831","$90,652","$11,820.98","1",0
"37",37,"haley peters",281,-0.4,6.1,"CON",0,32,-0.815679252297112,12,0,"F-G","$78,831","$89,987","$11,155.90","0",0
"38",38,"paige bueckers",590,2,20.6,"DAL",3,23,0.908436473380748,1,1,"G","$78,831","$73,727","-$5,104.16","0",0
"39",39,"jj quinerly",265,0.6,16.3,"DAL",3,22,0.458348991811745,2,1,"G","$66,079","$63,206","-$2,873.09","0",0
"40",40,"aziaha james",369,0.4,13.9,"DAL",3,22,0.265080774621523,3,1,"G","$72,455","$66,292","-$6,163.37","0",0
"41",41,"teaira mccowan",483,1.49,19.71,"DAL",0,28,0.128553206684492,4,1,"C","$201,400","$201,325","-$74.80","1",0
"42",42,"tyasha harris",1092.75,3.125,13.375,"DAL",0,27,0.0840206209680934,5,1,"G","$100,013","$84,378","-$15,634.73","1",0
"43",43,"maddy siegrist",383.5,0.71,15,"DAL",1,25,-0.00096055116866961,6,0,"F","$83,371","$75,883","-$7,488.22","0",0
"44",44,"dijonai carrington",1379.75,2.525,13.1125,"DAL",0,27,-0.0398465333639164,7,0,"G-F","$200,000","$192,663","-$7,337.28","1",0
"45",45,"li yueru",871,1.8,13.35,"DAL",0,26,-0.0717838480654993,8,0,"C","$66,079","$66,497","$418.02","0",0
"46",46,"myisha allen",1839,3.1,12.9666666666667,"DAL",0,29,-0.109819720340183,9,0,"F","$203,000","$199,722","-$3,278.42","1",0
"47",47,"arike ogunbowale",973,1.71,15.11,"DAL",0,28,-0.134669769542535,10,0,"G","$249,032","$230,599","-$18,432.72","1",0
"48",48,"luisa geiselsoder",249,0.3,12.1,"DAL",0,25,-0.339192376858183,11,0,"C","$66,079","$66,047","-$32.34","0",0
"49",49,"lou senechal",125,-0.3,2.2,"DAL",0,NA,NA,12,0,NA,NA,NA,NA,"0",1
"50",50,"veronica burton",1554,6.1,14.4,"GSV",0,24,0.657588283421806,1,1,"G","$78,831","$76,289","-$2,541.52","0",0
"51",51,"tiffany hayes",2164,8.7,16.8,"GSV",0,35,0.650001289594252,2,1,"G","$200,000","$206,070","$6,070.12","1",0
"52",52,"monique billings",1854,3,13.7333333333333,"GSV",0,29,0.129857323866748,3,1,"F","$110,000","$123,486","$13,486.01","1",0
"53",53,"carla leite",243,0.1,9.6,"GSV",3,21,0.077936483294864,4,1,"G","$72,455","$71,777","-$677.63","0",0
"54",54,"laeticia amihere",266,0.475,12.3625,"GSV",0,24,0.00116189506794634,5,1,"F","$53,307","$62,529","$9,221.82","0",0
"55",55,"kayla thornton",1418,3.975,13.15,"GSV",0,32,-5.6660996215846e-05,6,0,"F","$112,000","$137,914","$25,914.23","1",0
"56",56,"temi fagbenle",802,2,13.95,"GSV",0,32,-0.0500830968695525,7,0,"C","$90,000","$90,818","$817.50","1",0
"57",57,"cecilia zandalasini",626,1.6,12.75,"GSV",0,29,-0.0902283439991131,8,0,"F","$100,000","$111,688","$11,688.35","0",0
"58",58,"kaitlyn chen",120,0.3,11,"GSV",0,23,-0.129899329309318,9,0,"G","$49,420","$61,643","$12,222.71","0",0
"59",59,"janelle salaun",305,0.2,9.8,"GSV",0,23,-0.280151523686251,10,0,"F","$66,079","$76,203","$10,124.32","0",0
"60",60,"kate martin",725,0.6,8.3,"GSV",2,25,-0.316700967969979,11,0,"G","$68,595","$80,949","$12,354.44","0",0
"61",61,"stephanie talbot",868,0.7,9.35,"GSV",0,31,-0.649425352415188,12,0,"F","$125,000","$148,540","$23,539.83","1",0
"62",62,"aliyah boston",889.9,4.65,23.5,"IND",1,23,1.30612026263685,1,1,"F-C","$83,371","$78,008","-$5,363.02","0",0
"63",63,"caitlin clark",741.333333333333,1.4,17.6666666666667,"IND",2,23,0.592316017213736,2,1,"G","$78,066","$78,008","-$58.02","0",0
"64",64,"kelsey mitchell",929.3,2.97,18.94,"IND",0,29,0.39719914396141,3,1,"G","$249,244","$231,525","-$17,719.22","1",0
"65",65,"makayla timpson",96,0.3,13.2,"IND",3,22,0.314565287994717,4,1,"F-C","$69,267","$73,866","$4,599.10","0",0
"66",66,"natasha howard",1478,3.525,18.225,"IND",0,33,0.239592262752874,5,1,"F","$214,466","$221,901","$7,435.47","1",0
"67",67,"sophie cunningham",1444.25,3.45,11.675,"IND",0,28,0.0683129056945581,6,0,"G","$100,000","$108,692","$8,692.05","1",0
"68",68,"aari mcdonald",1406,2.2,12.6666666666667,"IND",0,26,0.0483242967317936,7,0,"G","$52,333","$62,892","$10,559.15","1",0
"69",69,"lexie hull",629.2,1.58,11.17,"IND",0,25,-0.0829826393386111,8,0,"G","$88,261","$85,415","-$2,845.75","0",0
"70",70,"katie samuelson",674,0.7,8.8,"IND",0,28,-0.49693160912272,9,0,NA,NA,NA,NA,"1",0
"71",71,"damiris dantas",214,0.3,10.4333333333333,"IND",0,32,-0.64587877470221,10,0,"C-F","$100,000","$106,135","$6,134.72","1",0
"72",72,"brianna turner",1362,1.3,5.66666666666667,"IND",0,29,-0.651995186785986,11,0,"F-C","$85,000","$85,311","$311.14","1",0
"73",73,"sydney colson",506.75,1,10.3875,"IND",0,35,-0.693894614522924,12,0,"G","$90,000","$90,596","$595.82","1",0
"74",74,"kristy wallace",517.25,0.45,10.85,"IND",0,NA,NA,13,0,NA,NA,NA,NA,"0",1
"75",75,"kelsey plum",2032.5,5.9,17.3875,"LAS",0,30,0.600911254857734,1,1,"G","$202,000","$199,576","-$2,423.73","1",0
"76",76,"dearica hamby",927.6,2.68,20.48,"LAS",0,31,0.333806839299927,2,1,"F","$202,000","$199,221","-$2,779.34","1",0
"77",77,"azura stevens",622.3,2.01,19.59,"LAS",0,29,0.321031157077696,3,1,"F-C","$195,000","$190,315","-$4,685.36","1",0
"78",78,"cameron brink",329,0.2,12.9,"LAS",2,23,0.306501466997809,4,1,NA,NA,NA,NA,"0",0
"79",79,"rickea jackson",725.333333333333,0.166666666666667,11.7333333333333,"LAS",2,24,0.211763188840379,5,1,"F","$78,066","$73,247","-$4,818.63","0",0
"80",80,"rae burrell",246.1,0.32,10.01,"LAS",0,25,-0.0425491197184848,6,0,"G-F","$125,000","$103,095","-$21,904.98","0",0
"81",81,"sarah barker",365,-0.7,3.6,"LAS",3,23,-0.0686336760140147,7,0,"G","$72,455","$65,729","-$6,725.89","0",0
"82",82,"mercedes russell",776.5,1.35,10.2875,"LAS",0,29,-0.107746211198946,8,0,"C","$160,000","$158,082","-$1,918.08","1",0
"83",83,"julie allemand",297,0.4,10.1,"LAS",0,29,-0.215373668552986,9,0,"G","$85,000","$81,660","-$3,339.74","0",0
"84",84,"emma cannon",523,1.1,15.7666666666667,"LAS",0,36,-0.246011298642465,10,0,"F","$78,831","$77,024","-$1,807.40","1",0
"85",85,"sania feagin",40,-0.4,-7.8,"LAS",3,22,-0.430728924605687,11,0,"F","$69,267","$65,729","-$3,537.89","0",0
"86",86,"julie vanloo",1164,-1.1,6.2,"LAS",0,32,-0.66297100834096,12,0,"G","$66,079","$66,723","$643.55","0",0
"87",87,"a'ja wilson",825.4,6.35,32.84,"LVA",0,28,1.07994997359339,1,1,"C","$200,000","$201,325","$1,325.20","1",0
"88",88,"jackie young",867.2,3.42,19.93,"LVA",0,27,0.324682993156189,2,1,"G","$169,950","$163,799","-$6,150.53","1",0
"89",89,"nalyssa smith",1413.75,2.4,14.4,"LVA",0,24,0.175649592048487,3,1,"F","$91,981","$77,755","-$14,226.19","0",0
"90",90,"aaliyah nye",374,0.3,7.3,"LVA",3,22,0.112676840359557,4,1,"G-F","$69,267","$67,234","-$2,032.76","0",0
"91",91,"jewell loyd",1900.5,4.575,15.3125,"LVA",0,31,0.019436885015746,5,1,"G","$249,032","$221,901","-$27,130.53","1",0
"92",92,"megan gustafson",677,2,12.15,"LVA",0,28,-0.189902846597143,6,0,"C","$96,820","$80,237","-$16,583.12","1",0
"93",93,"dana evans",1127.5,0.875,10.9,"LVA",0,26,-0.235594424188445,7,0,"G","$89,000","$80,706","-$8,293.76","1",0
"94",94,"kierstan bell",139.3,0.1,11.09,"LVA",0,25,-0.246867393527569,8,0,"F","$84,543","$79,814","-$4,728.88","0",0
"95",95,"chelsea gray",725.2,1.69,15.38,"LVA",0,32,-0.325508271903033,9,0,"G","$196,267","$195,800","-$466.50","1",0
