Player,Team,Pos,G,MP,G2,GS,MP3,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PPG
Zia Cooke,SEA,G,21,217,21,0,217,22,69,0.319,10,30,0.333,12,39,0.308,9,15,0.6,6,11,12,9,1,16,22,63,3.00
Haley Peters,CON,F-G,20,281,20,2,281,20,58,0.345,4,23,0.174,16,35,0.457,8,11,0.727,17,51,19,9,3,16,36,52,2.60
Sydney Colson,IND,G,22,311,22,6,311,20,56,0.357,10,34,0.294,10,22,0.455,6,7,0.857,5,18,44,10,5,23,26,56,2.55
Lindsay Allen,CON,G,16,221,16,3,221,14,37,0.378,1,11,0.091,13,26,0.5,7,9,0.778,0,11,33,5,3,17,19,36,2.25
Moriah Jefferson,CHI,G,4,34,4,1,34,3,8,0.375,1,3,0.333,2,5,0.4,0,0,,0,5,9,0,0,2,3,7,1.75
Shatori Walker-Kimbrough,ATL,G,22,199,22,1,199,12,37,0.324,3,16,0.188,9,21,0.429,4,7,0.571,3,18,12,5,7,9,15,31,1.41
Jaylyn Sherrod,NYL,G,16,102,16,0,102,6,20,0.3,3,11,0.273,3,9,0.333,7,9,0.778,2,11,10,10,0,11,17,22,1.38
Lexie Brown,SEA,G,14,105,14,0,105,4,20,0.2,4,18,0.222,0,2,0,7,10,0.7,1,9,6,4,0,2,12,19,1.36
Marquesha Davis,NYL,G,9,31,9,0,31,1,4,0.25,0,3,0,1,1,1,6,7,0.857,1,5,1,0,1,3,2,8,0.89
Taylor Thierry,ATL,G-F,11,22,11,0,22,1,7,0.143,1,2,0.5,0,5,0,1,2,0.5,1,3,1,2,0,0,1,4,0.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
